央视,#genre#
辽宁卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_LIAONING-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVy6sZkgRoUiBEDwKyjhRsS%2B4Gal9DU9%2FtzwUlAvW0Ymn&p=GITV&area=JS_CUCC
辽宁卫视,http://122.96.52.98:8006/JS_CUCC/LNWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2Fc4CRAuHlxOl7ujS0yeRQyh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
北京卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_BEIJING-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV3dweAXw3TLQ0su1DWAud584y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
北京卫视高清,http://122.96.52.98:8006/JS_CUCC/BTV-1.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0kjRTqe7Ar6EEzDVBBM5pLhCsZiWNVb%2B9ug3Ov%2B5E3U&p=GITV&area=JS_CUCC
东方卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_DONGFANG-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6uOD%2FF5rVZ9ggpQ6fpB0WG4Gal9DU9%2FtzwUlAvW0Ymn&p=GITV&area=JS_CUCC
东方卫视高清,http://122.96.52.98:8006/JS_CUCC/DFWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BO6hbRJXT8NiWwGGS4RNPoOP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
深圳卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_SHENZHEN-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FZLFHKtISZ64EC8%2FM6myNy4Gal9DU9%2FtzwUlAvW0Ymn&p=GITV&area=JS_CUCC
深圳卫视高清,http://122.96.52.98:8006/JS_CUCC/SZWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1EpCbiX3gS23hxXPodz1z4OP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
广东卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_GUANGDONG-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVy%2B9f1ioQT23DodmBN6xoZz3SuD29ZJ49VX0Vqg2NCkt&p=GITV&area=JS_CUCC
广东卫视高清,http://122.96.52.98:8006/JS_CUCC/GDWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7YYk%2FNMhiSkYw3tSTCv4QkOP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
广西卫视,http://122.96.52.98:8006/JS_CUCC/GXWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9RgDHm1q7xplgc%2BQsNl1aeh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
安徽卫视超清,http://122.96.52.98:8006/JS_CUCC/G_ANHUI-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV24w3zwcETIIvkijbg0ax%2FiBek7%2BBQ9CW5vOGiXZgCD8&p=GITV&area=JS_CUCC
安徽卫视,http://122.96.52.98:8006/JS_CUCC/AHWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5K8lGrn9dEQImQizKKYi0Kh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
山东卫视超清-8M,http://122.96.52.98:8006/JS_CUCC/G_SHANDONG-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVxzmA3bkY8uR2T6FfCfBDoi4Gal9DU9%2FtzwUlAvW0Ymn&p=GITV&area=JS_CUCC
山东卫视,http://122.96.52.98:8006/JS_CUCC/SDWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzoxD4nAJfMovgiglLl4i%2Fqh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
山西卫视,http://122.96.52.98:8006/JS_CUCC/SXWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9LhcyBvTYhd4GjUWOgwVf6h6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
江西卫视超清,http://122.96.52.98:8006/JS_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1vOhW%2BEXQQv15AnMlPq6XXJ9FDzXuGggYWfiL04G1oO&p=GITV&area=JS_CUCC
江西卫视,http://122.96.52.98:8006/JS_CUCC/JXWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8RQMz8tRotv%2FGVcf7rRX%2Byh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
陕西卫视,http://122.96.52.98:8006/JS_CUCC/G_SHANXI.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV2D8KFdS8E4Uz5nFiMK5WrFknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
重庆卫视超清,http://122.96.52.98:8006/JS_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5FqHW6qVcpEGyFqe3ywDRzU1UFnetLlTNzEtZeo4MUo&p=GITV&area=JS_CUCC
重庆卫视,http://122.96.52.98:8006/JS_CUCC/G_CHONGQING.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7hf5LmsD%2FAyNes%2FprUVVIjR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
